text_id,language,category,style,text,output_path,synthesis_time_s,audio_duration_s,real_time_factor,sample_rate,char_count,word_count,has_numbers,has_special_tokens,rms_db,zcr_mean,spectral_centroid_mean,pitch_mean_hz
short_neutral,en,length,neutral,Chat T T S is a conversational text to speech system for interactive applications.,/Users/nemanjastojanovic/Desktop/elfak/2-audio/2-audio-tts/generated_audio/short_neutral.wav,10.928950290894136,4.680458333333333,2.3350171099826342,24000,82,14,False,False,-28.33827544243258,0.18553133877840908,3155.915892369279,159.23342343212383
medium_paragraph,en,length,neutral,"This example is longer than the first sentence. It is used to measure synthesis time, generated audio duration, and real time factor. The goal is to observe how the system behaves when the input contains several connected ideas.",/Users/nemanjastojanovic/Desktop/elfak/2-audio/2-audio-tts/generated_audio/medium_paragraph.wav,27.61650320899207,13.270666666666667,2.081018527754853,24000,228,38,False,False,-20.891532613899745,0.13352728731942215,2758.953522491421,150.05843476081424
long_paragraph,en,length,neutral,"Conversational speech synthesis is important for voice assistants, educational software, and dialogue systems. A useful text to speech system should produce understandable audio, stable pronunciation, and natural prosody. In this experiment, the same synthesis pipeline is evaluated with different input lengths, sentence styles, and content types. The generated audio is saved, measured, and later rated using subjective scores for naturalness and intelligibility.",/Users/nemanjastojanovic/Desktop/elfak/2-audio/2-audio-tts/generated_audio/long_paragraph.wav,50.229220791952685,23.385833333333334,2.1478482325604253,24000,465,62,False,False,-19.660364178917103,0.1224758040394257,2297.400616618745,112.94786913313236
question,en,style,question,Can a synthetic voice sound natural when it asks a short question?,/Users/nemanjastojanovic/Desktop/elfak/2-audio/2-audio-tts/generated_audio/question.wav,8.931070000049658,3.5609166666666665,2.5080817205447077,24000,66,12,False,False,-27.728414176066348,0.15916799214071856,2666.6087009368325,106.55161790496558
exclamation,en,style,exclamation,This result is surprisingly expressive and easy to understand!,/Users/nemanjastojanovic/Desktop/elfak/2-audio/2-audio-tts/generated_audio/exclamation.wav,6.2391379999462515,2.915,2.1403560891753863,24000,62,9,False,False,-22.857118210199374,0.1124294308850365,2276.1021810383527,121.75305062137082
dialogue_reply,en,style,dialogue,"I understand your request. Let me explain the answer step by step, with a short pause between ideas.",/Users/nemanjastojanovic/Desktop/elfak/2-audio/2-audio-tts/generated_audio/dialogue_reply.wav,13.144707167055458,6.3395,2.073461182594125,24000,100,18,False,False,-24.235941187107795,0.15008913590604026,2980.5817515016183,152.70273206460945
numbers_terms,en,content,technical,"The model generated 24 kilohertz audio in 3.5 seconds using a G P U, an A S R module, and a T T S pipeline.",/Users/nemanjastojanovic/Desktop/elfak/2-audio/2-audio-tts/generated_audio/numbers_terms.wav,17.97004833293613,7.380833333333333,2.4346909788329407,24000,107,25,True,False,-27.298301767719046,0.10119699467124277,2169.92259337876,101.74573913772707
abbreviations,en,content,technical,"NASA, CPU, GPU, and API are common abbreviations that can be difficult for speech synthesis systems.",/Users/nemanjastojanovic/Desktop/elfak/2-audio/2-audio-tts/generated_audio/abbreviations.wav,14.117636458016932,6.145333333333333,2.2972938475835756,24000,100,16,False,False,-22.995378943835632,0.1605837072880623,2908.0589492553613,108.45835568488778
serbian_short,sr,language,neutral,Ovo je kratak primer teksta na srpskom jeziku za proveru izgovora i razumljivosti.,/Users/nemanjastojanovic/Desktop/elfak/2-audio/2-audio-tts/generated_audio/serbian_short.wav,13.156404208973981,5.562708333333333,2.365107681475417,24000,82,13,False,False,-23.72163807285855,0.04442798132183908,1148.5222783722706,118.93138855309337
mixed_language,mixed,language,dialogue,"Ovo je mixed language primer: Chat T T S generates speech from text, ali izgovor srpskih reci moze biti nestabilan.",/Users/nemanjastojanovic/Desktop/elfak/2-audio/2-audio-tts/generated_audio/mixed_language.wav,17.425626583979465,7.682375,2.268260347090511,24000,115,20,False,False,-21.41535205886864,0.16039700917590027,2808.608929214538,134.1440159802743
